title,projectname,builder,price,per_sqft,area,status,place,rating
2  BHK  Independent Floor,,Kiran Reddy,160000000,"1,28,000 / sq ft",1250,Under Construction,Ameenpur,0.0
2  BHK  Apartment,,Kiran Reddy,5518000,"4,799 / sq ft",1150,Under Construction,Ameenpur,0.0
Residential Plot,,Venu Gopal,45000000,"11,111 / sq ft",4050,Resale,Malkajgiri,0.0
3  BHK  Apartment,,Kiran Reddy,7678000,"4,799 / sq ft",1600,Under Construction,Ameenpur,0.0
Residential Plot,,Sharath Chandra,2100000,"1,555 / sq ft",1350,New,Himayat Nagar,0.0
Residential Plot,,Sharath Chandra,2000000,"1,111 / sq ft",1800,New,Habsiguda,0.0
2  BHK  Apartment,,Kiran Reddy,5518000,"4,798 / sq ft",1150,Under Construction,Ameenpur,0.0
3  BHK  Apartment,Mahalaxmi Krishnas Mahalaxmi Nilyam,Vishal Sai,11299999,"7,600 / sq ft",1490,Ready to move,East Marredpally,0.0
Residential Plot,,srinivasulu,4425000,"3,277 / sq ft",1350,New,Aminpur,0.0
Residential Plot,,srinivasulu,4000000,246 / sq ft,16200,New,Bachupally,0.0
Residential Plot,,best property,3900000,"26,000 / sq ft",150,New,Medchal and Kalkal Village,0.0
Residential Plot,,V Shiri,4575000,"2,777 / sq ft",1647,New,Peddapur,0.0
2  BHK  Apartment,,Kiran Reddy,5348000,"4,999 / sq ft",1070,Ready to move,Miyapur HMT Swarnapuri Colony,0.0
2  BHK  Apartment,,Kiran Reddy,5518000,"4,799 / sq ft",1150,Under Construction,Ameenpur,0.0
3  BHK  Apartment,,Kiran Reddy,7678000,"4,799 / sq ft",1600,Under Construction,Ameenpur,0.0
Residential Plot,,Sharath Chandra,2000000,"10,000 / sq ft",200,New,Badangpet,0.0
2  BHK  Apartment,,Kiran Reddy,5348000,"4,998 / sq ft",1070,Ready to move,Miyapur,0.0
2  BHK  Apartment,,vishnu,5200000,"4,814 / sq ft",1080,Ready to move,Pragathi Nagar Kukatpally,
Residential Plot,,srinivasulu,3500000,288 / sq ft,12150,Resale,Ramachandra Puram,0.0
2  BHK  Independent Floor,,Kiran Reddy,16000000,"12,800 / sq ft",1250,Under Construction,Ameenpur,0.0
2  BHK  Apartment,,Kiran Reddy,5518000,"4,799 / sq ft",1150,Under Construction,Ameenpur,0.0
Residential Plot,,Sharath Chandra,3120000,"1,444 / sq ft",2160,New,Erragadda,0.0
2  BHK  Apartment,,Kiran Reddy,5518000,"4,798 / sq ft",1150,Under Construction,Ameenpur,0.0
2  BHK  Apartment,,Prime Realestate,4000000,"3,883 / sq ft",1030,Ready to move,Bachupally,0.0
Residential Plot,Sandstone Eternity,srinivasulu,3200000,236 / sq ft,13527,New,Patancheru,0.0
2  BHK  Independent Floor,,Kiran Reddy,16000000,"12,800 / sq ft",1250,Under Construction,Ameenpur,0.0
2  BHK  Apartment,,Kiran Reddy,5348000,"4,999 / sq ft",1070,Ready to move,Miyapur,0.0
Residential Plot,,Sharath Chandra,3150000,"2,333 / sq ft",1350,New,Bowenpally,0.0
Residential Plot,,Sharath Chandra,2100000,"1,555 / sq ft",1350,New,Kanchan Bagh,0.0
3  BHK  Apartment,,Kiran Reddy,7678000,"4,799 / sq ft",1600,Under Construction,Ameenpur,0.0
4  BHK  Independent House,,Web,12500000,"5,280 / sq ft",2367,Ready to move,Malkajgiri,0.0
Residential Plot,,srinivasulu,3100000,265 / sq ft,11664,New,Patancheru,0.0
Residential Plot,CBC Cosmopolis,Suma,2646000,"1,500 / sq ft",1764,New,Mirkhanpet,0.0
Residential Plot,CBC Cosmopolis,Suma,2700000,"1,500 / sq ft",1800,New,Kadthal,0.0
Residential Plot,,SANDHYALHP,1711000,888 / sq ft,1926,New,Mirkhanpet,0.0
2  BHK  Apartment,,Kiran Reddy,5948000,"4,999 / sq ft",1190,Ready to move,Miyapur,0.0
Residential Plot,,Sharath Chandra,3360000,"1,555 / sq ft",2160,New,Narayanguda,0.0
5  BHK  Independent House,,TSubba Rao,11000000,"3,666 / sq ft",3000,Ready to move,Mallapur,
4  BHK  Independent House,,Ahmed Ahmed,3700000,"3,288 / sq ft",1125,Ready to move,Shaheen Nagar,
Residential Plot,,Supriya Lhp,2898000,"1,555 / sq ft",1863,New,Shamshabad,0.0
Residential Plot,,Supriya Lhp,2800000,"1,555 / sq ft",1800,New,Shamshabad,0.0
Residential Plot,,SANDHYALHP,1551000,888 / sq ft,1746,New,Mirkhanpet,0.0
Residential Plot,,SANDHYALHP,1519000,888 / sq ft,1710,New,Mirkhanpet,0.0
2  BHK  Independent House,,Kiran Reddy,16500000,"13,200 / sq ft",1250,Under Construction,Ameenpur,0.0
Residential Plot,,Sharath Chandra,2400000,"1,333 / sq ft",1800,New,Saroornagar,0.0
Residential Plot,,Sharath Chandra,8000000,"1,777 / sq ft",4500,New,Rani Gunj,0.0
3  BHK  Apartment,Omsree Skypark,Kiran,9845000,"5,427 / sq ft",1815,Under Construction,Kompally,
4  BHK  Independent Floor,,Murali Krishna,15000000,"4,411 / sq ft",3400,Ready to move,Turkayamjal,
Residential Plot,,Supriya Lhp,4200000,"2,333 / sq ft",1800,New,Tukkuguda,0.0
Residential Plot,,SANDHYALHP,1463000,888 / sq ft,1647,New,Mirkhanpet,0.0
Residential Plot,,SANDHYALHP,1439000,888 / sq ft,1620,New,Mirkhanpet,0.0
Residential Plot,,Sharath Chandra,3779999,"2,333 / sq ft",1620,New,Musheerabad,0.0
2  BHK  Apartment,,Bestpropin,6450000,"5,733 / sq ft",1125,Ready to move,Miyapur,0.0
4  BHK  Independent Floor,,Ahmed Ahmed,3700000,"3,288 / sq ft",1125,Ready to move,Shaheen Nagar Habeeb Colony,
Residential Plot,,Supriya Lhp,1900000,"1,055 / sq ft",1800,New,Nandiwanaparthy,0.0
Residential Plot,,SLN VENTURES,2100000,"1,275 / sq ft",1647,New,Nandiwanaparthy,0.0
Residential Plot,,SANDHYALHP,1423000,888 / sq ft,1602,New,Mirkhanpet,0.0
Residential Plot,,SANDHYALHP,1415000,888 / sq ft,1593,New,Mirkhanpet,0.0
Residential Plot,,Sunitha kriti,3300000,"1,833 / sq ft",1800,New,Sadashivpet,0.0
2  BHK  Apartment,Nestcon Coral,Swati realtor,4680000,"4,088 / sq ft",1145,Ready to move,Alwal,0.0
2  BHK  Independent House,,Rohit kumar,5300000,"6,235 / sq ft",850,Under Construction,Keesara,
2  BHK  Independent House,,SANDHYALHP,16000000,"12,800 / sq ft",1250,Under Construction,Aminpur,0.0
Residential Plot,,SANDHYALHP,1319000,888 / sq ft,1485,New,Mirkhanpet,0.0
2  BHK  Apartment,My Home Avatar,Hi-Tech Property,13500000,"10,273 / sq ft",1314,Ready to move,Manikonda,0.0
4  BHK  Apartment,DSR W By DSR,Swati realtor,25800000,"4,310 / sq ft",5999,Under Construction,Kondapur,0.0
Residential Plot,,moujes,1442000,"1,366 / sq ft",1056,New,Yadagiriguttaa,0.0
2  BHK  Independent House,,SANDHYALHP,16000000,"12,800 / sq ft",1250,Under Construction,Ameenpur,0.0
Residential Plot,,SANDHYALHP,1207000,888 / sq ft,1359,New,Mirkhanpet,0.0
5  BHK  Villa,,Hi-Tech Property,164400000,"20,000 / sq ft",8220,Ready to move,Gandipet,0.0
4  BHK  Independent House,,Guest,10000000,"4,614 / sq ft",2167,Ready to move,Hayathnagar,
Residential Plot,Subhagruha Sukrithi Ayatana,Subhagruha projects India Pvt Ltd,4200000,"2,828 / sq ft",1485,New,Sangareddy,0.0
Residential Plot,,Thanuja LHP,2799000,"1,555 / sq ft",1800,New,Maheshwaram,0.0
3  BHK  Apartment,,Space Properties,22000000,"10,161 / sq ft",2165,Ready to move,Narsingi,0.0
Residential Plot,,SANDHYALHP,1175000,888 / sq ft,1323,New,Mirkhanpet,0.0
3  BHK  Apartment,,Hi-Tech Property,17600000,"7,950 / sq ft",2218,Ready to move,Kondapur,0.0
3  BHK  Apartment,Mahalaxmi Krishnas Mahalaxmi Nilyam,Vishal Sai,11299999,"7,600 / sq ft",1490,Ready to move,East Marredpally,0.0
Residential Plot,Emerald E Emerald,Jyoti Estate,4963000,866 / sq ft,5730,New,Ibrahimpatnam,0.0
Residential Plot,,priyanka,17000000,"9,444 / sq ft",1800,Resale,Aminpur,
Residential Plot,,nani,1500000,277 / sq ft,5400,New,Ibrahimpatnam,
Residential Plot,Janaharsha Dream City 2,AB consultancy,2000000,370 / sq ft,5400,Resale,Ibrahimpatnam,0.0
Residential Plot,,SANDHYALHP,2128000,"1,055 / sq ft",2016,New,Mucherla,0.0
4  BHK  Independent House,,Hi-Tech Property,40000000,"10,000 / sq ft",4000,Ready to move,Chandanagar,0.0
3  BHK  Apartment,Mahalaxmi Krishnas Mahalaxmi Nilyam,Vishal Sai,11299999,"7,600 / sq ft",1490,Ready to move,East Marredpally,0.0
Residential Plot,,user3442,6500000,"1,920 / sq ft",3384,Resale,Dubbacherla,
Residential Plot,,V Hema latha,4700000,"2,611 / sq ft",1800,New,Kandi,
Residential Plot,,SANDHYALHP,2536000,"1,055 / sq ft",2403,New,Mirkhanpet,0.0
3  BHK  Apartment,Vertex Prestige,Hi-Tech Property,8100000,"5,977 / sq ft",1355,Ready to move,Kukatpally,0.0
3  BHK  Apartment,Mahalaxmi Krishnas Mahalaxmi Nilyam,Vishal Sai,11299999,"7,600 / sq ft",1490,Ready to move,East Marredpally,0.0
Residential Plot,,Thanuja LHP,1785000,"9,497 / sq ft",188,New,Mirkhanpet,0.0
Residential Plot,,priyanka,13000000,"7,222 / sq ft",1800,New,HMT Swarnapuri Colony Hyderabad,
Residential Plot,,SANDHYALHP,1776000,"1,055 / sq ft",1683,New,Mirkhanpet,0.0
3  BHK  Apartment,Arjun ARK Towers,Hi-Tech Property,9800000,"6,113 / sq ft",1603,Ready to move,Miyapur,0.0
3  BHK  Apartment,Aparna Hill Park Lake Breeze,Hi-Tech Property,13000000,"8,074 / sq ft",1610,Ready to move,Chandanagar,0.0
Residential Plot,,Thanuja LHP,2659000,"1,555 / sq ft",1710,New,Maheshwaram,0.0
Residential Plot,,Thanuja LHP,2519000,"1,555 / sq ft",1620,New,Maheshwaram,0.0
Residential Plot,Building True Grande Commercial B Block,MAGANTI SRINIVAS,1250000,946 / sq ft,1320,New,Eklaskhanpeta,
Residential Plot,,Rajasekhar,6000000,"3,333 / sq ft",1800,Resale,Bhuvanagiri,
Residential Plot,,SANDHYALHP,2109000,"1,055 / sq ft",1998,New,Mirkhanpet,0.0
Residential Plot,,LAHARI,3999000,"2,222 / sq ft",1800,New,Tukkuguda,0.0
3  BHK  Villa,,Hi-Tech Property,40000000,"8,281 / sq ft",4830,Ready to move,Begumpet,0.0
Residential Plot,,Praveen Realtor,180000000,206 / sq ft,871200,New,Yadagirigutta,
Residential Plot,,seller,1199000,"1,002 / sq ft",1197,Resale,Shadnagar,
Residential Plot,,SANDHYALHP,2089999,"1,055 / sq ft",1980,New,Mirkhanpet,0.0
Residential Plot,,LAHARI,2499000,"1,388 / sq ft",1800,New,Mirkhanpet,0.0
3  BHK  Villa,Subishi Iris Luxury Homes,Hi-Tech Property,28500000,"11,176 / sq ft",2550,Ready to move,Mokila,0.0
Residential Plot,,PSR Global Infra Projects,5000000,694 / sq ft,7200,New,HYD Bombay Highway,0.0
Residential Plot,Aduri Iconic 2,Jyothi Israel,1700000,"1,452 / sq ft",1170,New,Shadnagar,
Residential Plot,,LAHARI,1085000,"1,022 / sq ft",1062,New,Kandukur,0.0
Residential Plot,,SANDHYALHP,1710000,"1,055 / sq ft",1620,New,Mirkhanpet,0.0
Residential Plot,,LAHARI,2249000,"1,388 / sq ft",1620,New,Mirkhanpet,0.0
5  BHK  Apartment,Aparna Hights I,Hi-Tech Property,29000000,"6,250 / sq ft",4640,Ready to move,Kondapur,0.0
Residential Plot,,PSR Global Infra Projects,10000000,694 / sq ft,14400,New,Mumbai Highway,0.0
Residential Plot,,Kiran Reddy,2276000,"1,611 / sq ft",1413,New,Meerkhanpet,0.0
Residential Plot,,Lanar Realtors,7500000,"1,666 / sq ft",4500,Resale,Shankarpally Road,0.0
Residential Plot,,SANDHYALHP,1691000,"1,055 / sq ft",1602,New,Mucherla,0.0
Residential Plot,,LAHARI,1596000,"1,062 / sq ft",1503,New,Mirkhanpet,0.0
5  BHK  Villa,,Hi-Tech Property,120000000,"24,000 / sq ft",5000,Ready to move,Hafeezpet,0.0
3  BHK  Apartment,,satyam,4300000,"3,765 / sq ft",1142,Under Construction,Kompally,0.0
3  BHK  Apartment,Vasavi GP Trends,satyam,15800000,"8,700 / sq ft",1825,Ready to move,Nanakramguda,0.0
Residential Plot,,Sunitha kriti,6400000,"32,000 / sq ft",200,New,muthangi,0.0
Residential Plot,,Sunitha kriti,1000000,555 / sq ft,1800,New,Shadnagar,0.0
Residential Plot,,SANDHYALHP,1662000,"1,055 / sq ft",1575,New,Mirkhanpet,0.0
Residential Plot,,Kiran Reddy,1738000,"1,055 / sq ft",1647,New,Meerkhanpet,0.0
2  BHK  Apartment,Prajay Megapolis,Hi-Tech Property,8000000,"6,324 / sq ft",1265,Ready to move,Kukatpally,0.0
3  BHK  Apartment,,satyam,4300000,"3,765 / sq ft",1142,Under Construction,Moosapet,0.0
3  BHK  Apartment,Vasavi GP Trends,satyam,14900000,"8,700 / sq ft",1715,Ready to move,Nanakramguda,0.0
Residential Plot,,SANDHYALHP,1586000,"1,055 / sq ft",1503,New,Mucherla,0.0
Residential Plot,,Kiran Reddy,2799000,"1,555 / sq ft",1800,New,Srisailam Highway,0.0
3  BHK  Independent House,,Save Money Real Estate,9000000,"10,000 / sq ft",900,Ready to move,Tarnaka,0.0
2  BHK  Apartment,My Home Mangala,Hi-Tech Property,13300000,"10,254 / sq ft",1297,Ready to move,Kondapur,0.0
3  BHK  Apartment,,satyam,11299999,"6,453 / sq ft",1751,Ready to move,Serilingampally,0.0
3  BHK  Apartment,,satyam,11299999,"6,453 / sq ft",1751,Ready to move,Nanakramguda,0.0
Residential Plot,,SLN VENTURES,750000,694 / sq ft,1080,New,JP Darga,0.0
Residential Plot,,SANDHYALHP,1482000,"1,055 / sq ft",1404,New,Mirkhanpet,0.0
2  BHK  Independent House,,Save Money Real Estate,4500000,"4,545 / sq ft",990,Ready to move,Peerzadiguda,0.0
6  BHK  Independent House,,Hi-Tech Property,25000000,"5,852 / sq ft",4272,Ready to move,Nizampet,0.0
3  BHK  Apartment,,satyam,6630000,"4,405 / sq ft",1505,Under Construction,Miyapur,0.0
Residential Plot,,sruthilhp,1469000,"9,999 / sq ft",147,New,Mirkhanpet,0.0
Residential Plot,,SANDHYALHP,1472000,"1,055 / sq ft",1395,New,Mirkhanpet,0.0
2  BHK  Independent House,,Save Money Real Estate,38000000,"14,074 / sq ft",2700,Ready to move,Habsiguda,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,2700000,"1,500 / sq ft",1800,New,Mirkhanpet,0.0
2  BHK  Apartment,,Hi-Tech Property,4000000,"3,333 / sq ft",1200,Ready to move,AS Rao Nagar,0.0
2  BHK  Apartment,,satyam,7255000,"6,046 / sq ft",1200,Under Construction,Chandanagar,0.0
Residential Plot,,sruthilhp,5473000,"2,277 / sq ft",2403,New,Tukkuguda,0.0
Residential Plot,,SANDHYALHP,1301000,"1,055 / sq ft",1233,New,Mirkhanpet,0.0
Residential Plot,,SANDHYALHP,2775000,"1,388 / sq ft",1998,New,Meerkhanpet,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,2254000,"1,500 / sq ft",1503,New,Mirkhanpet,0.0
3  BHK  Apartment,,Hi-Tech Property,38900000,"15,500 / sq ft",2510,Ready to move,Banjara Hills,0.0
2  BHK  Apartment,,satyam,9000000,"6,923 / sq ft",1300,Under Construction,Kondapur,0.0
2  BHK  Apartment,Idea Shobhanath,Guest,5072000,"4,299 / sq ft",1180,Under Construction,Pocharam,
Residential Plot,Aspirealty Advaith,VR infra projects,3400000,"1,888 / sq ft",1800,New,Lemoor,
Residential Plot,,sruthilhp,6170000,"20,500 / sq ft",301,New,Tukkuguda,0.0
Residential Plot,,SANDHYALHP,2615000,888 / sq ft,2943,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,2600000,"1,444 / sq ft",1800,New,Mansanpally,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,3240000,"1,500 / sq ft",2160,New,Mirkhanpet,0.0
5  BHK  Independent House,,Hi-Tech Property,30000000,"16,666 / sq ft",1800,Ready to move,Lingampally,0.0
4  BHK  Apartment,,Guest,6200000,"5,166 / sq ft",1200,Under Construction,Narsingi,
3  BHK  Apartment,Qualitas Serenity Park,Epcot Downtown Ventures pvt ltd,12000000,"7,147 / sq ft",1679,Under Construction,Kokapet,0.0
Residential Plot,,sruthilhp,4353000,"1,555 / sq ft",2799,New,Mansanpally,0.0
Residential Plot,,SANDHYALHP,2399000,888 / sq ft,2700,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,1943000,888 / sq ft,2187,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,2600000,"1,444 / sq ft",1800,New,Mansanpally,0.0
Residential Plot,,SANDHYALHP,2536000,"1,055 / sq ft",2403,New,Mucherla,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,2700000,"1,500 / sq ft",1800,New,Mirkhanpet,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,3240000,"1,500 / sq ft",2160,New,Mirkhanpet,0.0
4  BHK  Apartment,Rajapushpa Eterna,Hi-Tech Property,43000000,"10,000 / sq ft",4300,Ready to move,Nanakramguda,0.0
3  BHK  Apartment,,Sirisha LHP,7998000,"4,999 / sq ft",1600,Ready to move,Ameenpur,0.0
2  BHK  Apartment,Cybercity Rainbow Vistas Rock Garden,Epcot Downtown Ventures pvt ltd,7373999,"5,899 / sq ft",1250,Under Construction,Hitech City,0.0
Residential Plot,,sruthilhp,1738000,"1,055 / sq ft",1647,New,Nandiwanaparthy,0.0
2  BHK  Apartment,Sattva Sattva Magnus,Epcot Downtown Ventures pvt ltd,8300000,"6,916 / sq ft",1200,Under Construction,Shaikpet,0.0
Residential Plot,,SANDHYALHP,1759000,888 / sq ft,1980,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,2128000,"1,055 / sq ft",2016,New,Mirkhanpet,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,2254000,"1,500 / sq ft",1503,New,Mirkhanpet,0.0
3  BHK  Apartment,,Hi-Tech Property,16500000,"11,036 / sq ft",1495,Ready to move,Kondapur,0.0
4  BHK  Villa,,shiva,42000000,"10,000 / sq ft",4200,Under Construction,Trimulgherry,0.0
2  BHK  Apartment,,avi consultancy,6900000,"6,272 / sq ft",1100,Ready to move,Hill Top Colony,0.0
2  BHK  Apartment,Indis One City,Epcot Downtown Ventures pvt ltd,8500000,"7,036 / sq ft",1208,Under Construction,Kukatpally,0.0
4  BHK  Villa,Sri Aditya Casa Grande,Space Properties,180000000,"34,816 / sq ft",5170,Ready to move,Gandipet,0.0
Residential Plot,,SANDHYALHP,1085000,"1,022 / sq ft",1062,New,Mirkhanpet,0.0
Residential Plot,,SANDHYALHP,1711000,888 / sq ft,1926,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,2109000,"1,055 / sq ft",1998,New,Mucherla,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,2700000,"1,500 / sq ft",1800,New,Mirkhanpet,0.0
2  BHK  Apartment,,avi consultancy,6800000,"6,938 / sq ft",980,Ready to move,Himayatnagar,0.0
2  BHK  Apartment,,avi consultancy,6300000,"6,300 / sq ft",1000,Ready to move,Himayat Nagar,0.0
Residential Plot,,royal rajputana,5922000,"4,666 / sq ft",1269,New,Kowkur,0.0
Residential Plot, Lakshmi My Mahaa City,prasad developers,3000000,"1,666 / sq ft",1800,New,Bhongir,0.0
Residential Plot,,SANDHYALHP,5405000,"4,700 / sq ft",1150,New,Ameenpur,0.0
Residential Plot,,SANDHYALHP,1711000,888 / sq ft,1926,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,2089999,"1,055 / sq ft",1980,New,Mirkhanpet,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,2970000,"1,500 / sq ft",1980,New,Mirkhanpet,0.0
2  BHK  Apartment,,avi consultancy,8900000,"7,478 / sq ft",1190,Ready to move,Hitech City,0.0
Residential Plot,,royal rajputana,6804000,"4,666 / sq ft",1458,New,Kowkur,0.0
Residential Plot,,LAHARI,4399000,"2,222 / sq ft",1980,New,Tukkuguda,0.0
Residential Plot,,SANDHYALHP,2522000,"13,000 / sq ft",194,New,Mansanpally,0.0
Residential Plot,,SANDHYALHP,1591000,888 / sq ft,1791,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,1472000,"1,055 / sq ft",1395,New,Mirkhanpet,0.0
Residential Plot,,SANDHYALHP,2071000,"1,055 / sq ft",1962,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,1900000,"1,055 / sq ft",1800,New,Mirkhanpet,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,2254000,"1,500 / sq ft",1503,New,Mirkhanpet,0.0
2  BHK  Apartment,,avi consultancy,5900000,"6,555 / sq ft",900,Ready to move,HCL Nagar,0.0
Residential Plot,,Bindu sales,2300000,"1,277 / sq ft",1800,New,Mansanpally,0.0
4  BHK  Independent House,,Save Money Real Estate,15000000,"9,259 / sq ft",1620,Ready to move,HMT Nagar,0.0
2  BHK  Independent House,,Save Money Real Estate,6500000,"7,222 / sq ft",900,Ready to move,Nacharam Mandal,0.0
Residential Plot,,SANDHYALHP,1551000,888 / sq ft,1746,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,1301000,"1,055 / sq ft",1233,New,Mirkhanpet,0.0
Residential Plot,,SANDHYALHP,1183000,888 / sq ft,1332,New,Srisailam Highway,0.0
Residential Plot,,SANDHYALHP,1776000,"1,055 / sq ft",1683,New,Mirkhanpet,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,2970000,"1,500 / sq ft",1980,New,Mirkhanpet,0.0
2  BHK  Apartment,,avi consultancy,6100000,"5,169 / sq ft",1180,Ready to move,HB Colony Main Road,0.0
2  BHK  Apartment,,avi consultancy,6100000,"5,545 / sq ft",1100,Ready to move,Hasmathpet,0.0
Residential Plot,,Bindu sales,2530000,"1,277 / sq ft",1980,New,Mansanpally,0.0
2  BHK  Apartment,,Save Money Real Estate,7000000,"6,086 / sq ft",1150,Ready to move,Amberpet,0.0
Residential Plot,,SANDHYALHP,1519000,888 / sq ft,1710,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,1527000,888 / sq ft,1719,New,Srisailam Highway,0.0
Residential Plot,,SANDHYALHP,1738000,"1,055 / sq ft",1647,New,Mucherla,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,6304000,"1,500 / sq ft",4203,New,Mirkhanpet,0.0
2  BHK  Apartment,,avi consultancy,6800000,"7,555 / sq ft",900,Ready to move,Hakimpet,0.0
2  BHK  Apartment,,avi consultancy,6500000,"5,909 / sq ft",1100,Ready to move,Habsiguda,0.0
Residential Plot,,Bindu sales,2530000,"1,277 / sq ft",1980,New,Mansanpally,0.0
Residential Plot,,Bindu sales,1600000,888 / sq ft,1800,New,Mirkhanpet,0.0
2  BHK  Independent House,,Save Money Real Estate,8000000,"6,999 / sq ft",1143,Ready to move,Chilkanagar,0.0
Residential Plot,,SANDHYALHP,1463000,888 / sq ft,1647,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,1439000,888 / sq ft,1620,New,Srisailam Highway,0.0
Residential Plot,,SANDHYALHP,1759000,888 / sq ft,1980,New,Meerkhanpet,0.0
2  BHK  Apartment,Ranjay Lake Point,Bestpropin,6700000,"5,583 / sq ft",1200,Ready to move,Chandanagar,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,6304000,"1,500 / sq ft",4203,New,Mirkhanpet,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,2430000,"1,500 / sq ft",1620,New,Mirkhanpet,0.0
Residential Plot,,Bindu sales,1600000,888 / sq ft,1800,New,Mirkhanpet,0.0
Residential Plot,,LAHARI,1567000,"1,055 / sq ft",1485,New,Nandiwanaparthy,0.0
4  BHK  Independent House,,Save Money Real Estate,45000000,"11,111 / sq ft",4050,Ready to move,Tarnaka,0.0
Residential Plot,,SANDHYALHP,1463000,888 / sq ft,1647,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,1439000,888 / sq ft,1620,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,1423000,888 / sq ft,1602,New,Srisailam Highway,0.0
2  BHK  Apartment,,Bestpropin,5700000,"5,327 / sq ft",1070,Ready to move,Gajularamaram,0.0
2  BHK  Apartment,,Bestpropin,5850000,"5,318 / sq ft",1100,Ready to move,Gajularamaram,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,2430000,"1,500 / sq ft",1620,New,Mirkhanpet,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,4495000,"1,500 / sq ft",2997,New,Mirkhanpet,0.0
Residential Plot,,Kiran Reddy,2699000,"1,499 / sq ft",1800,New,Meerkhanpet,0.0
Residential Plot,,Kiran Reddy,1738000,"1,055 / sq ft",1647,New,Yacharam,0.0
3  BHK  Independent House,,Save Money Real Estate,9000000,"10,000 / sq ft",900,Ready to move,Tarnaka,0.0
Residential Plot,,SANDHYALHP,1423000,888 / sq ft,1602,New,Mucherla,0.0
Residential Plot,,SANDHYALHP,1415000,888 / sq ft,1593,New,Srisailam Highway,0.0
3  BHK  Apartment,,Bestpropin,11399999,"6,542 / sq ft",1750,Under Construction,Miyapur,0.0
2  BHK  Apartment,AR Green Valley,Bestpropin,9225000,"7,380 / sq ft",1250,Ready to move,Kondapur,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,4495000,"1,500 / sq ft",2997,New,Mirkhanpet,0.0
4  BHK  Independent House,,Save Money Real Estate,30000000,"11,223 / sq ft",2673,Ready to move,Nallakunta,0.0
4  BHK  Independent House,,Save Money Real Estate,33000000,"12,222 / sq ft",2700,Ready to move,Habsiguda,0.0
4  BHK  Independent House,,Save Money Real Estate,25000000,"9,259 / sq ft",2700,Ready to move,Ramanthapur,0.0
Residential Plot,,SANDHYALHP,1463000,888 / sq ft,1647,New,Meerkhanpet,0.0
2  BHK  Villa,,Bestpropin,9000000,"7,500 / sq ft",1200,Under Construction,Patancheru,0.0
2  BHK  Apartment,,Bestpropin,5726000,"5,112 / sq ft",1120,Ready to move,Gajularamaram,0.0
2  BHK  Apartment,,Bestpropin,5425000,"5,344 / sq ft",1015,Ready to move,Gajularamaram,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,3604000,"1,500 / sq ft",2403,New,Mirkhanpet,0.0
Residential Plot,CBC Cosmopolis,Light House Properties,3604000,"1,500 / sq ft",2403,New,Mirkhanpet,0.0
Residential Plot,,SANDHYALHP,1710000,"1,055 / sq ft",1620,New,Mirkhanpet,0.0
4  BHK  Villa,Sri Cypress Palms,vaishnav Agencies,55000000,"12,035 / sq ft",4570,Ready to move,Kondapur,0.0
Residential Plot,,SANDHYALHP,1319000,888 / sq ft,1485,New,Meerkhanpet,0.0
2  BHK  Apartment,Bhavya Tulasi Vanam,Bestpropin,7600000,"6,696 / sq ft",1135,Ready to move,Kukatpally,0.0
2  BHK  Apartment,,Bestpropin,5700000,"5,327 / sq ft",1070,Ready to move,Gajularamaram,0.0
2  BHK  Apartment,,Bestpropin,5950000,"5,312 / sq ft",1120,Ready to move,Gajularamaram,0.0
Residential Plot,,SAI GANESH GOUD,2699000,"1,499 / sq ft",1800,New,Meerkhanpet,0.0
Residential Plot,Green Garden,Raja Reddy - Favorites,2500000,"1,663 / sq ft",1503,Resale,Kandukur,
Residential Plot,,SANDHYALHP,1691000,"1,055 / sq ft",1602,New,Mirkhanpet,0.0
