title,projectname,builder,price,per_sqft,area,status,place,rating
2  BHK  Apartment,Risinia The Edge,Risinia Builders,6820999,"5,199 / sq ft",1312,Under Construction,Pragathi Nagar Kukatpally,0.0
3  BHK  Apartment,Pallavi Gardenia,Pallavi Developers,9984000,"6,103 / sq ft",1636,Under Construction,Nagole,0.0
Residential Plot,Alekhya NSR County Phase II,Alekya Infraa Developers,7500000,"2,777 / sq ft",2700,New,Sangareddy,0.0
3  BHK  Apartment,Hallmark Treasor,Hallmark Builders,15000000,"8,499 / sq ft",1765,Under Construction,Gandipet,0.0
2  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,8984000,"6,832 / sq ft",1315,Under Construction,Manchirevula,0.0
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,10800000,"5,500 / sq ft",1965,Under Construction,Jeedimetla,0.0
3  BHK  Apartment,GHR Callisto,GHR Infra,9494000,"5,349 / sq ft",1775,Under Construction,Kollur,0.0
2  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,7138000,"5,599 / sq ft",1275,Under Construction,Kompally,0.0
3  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,10400000,"5,599 / sq ft",1865,Under Construction,Kompally,0.0
2  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,7081999,"5,599 / sq ft",1265,Under Construction,Kompally,0.0
2  BHK  Apartment,Mahaveer Palm Grove,Mahaveer Group,9360000,"7,800 / sq ft",1200,Under Construction,Begumpet,0.0
2  BHK  Apartment,Mahaveer Palm Grove,Mahaveer Group,9360000,"7,800 / sq ft",1200,Under Construction,Begumpet,0.0
4  BHK  Villa,Sri GREENTECH O2 Community,Sri Aditya Squares,22799999,"5,500 / sq ft",4161,Under Construction,Ramachandrapuram,0.0
2  BHK  Apartment,,Maaruthi Group,3700000,"3,700 / sq ft",1000,Ready to move,Pragathi Nagar Kukatpally,0.0
3  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,13600000,"6,639 / sq ft",2060,Under Construction,Manchirevula,0.0
3  BHK  Apartment,Mahaveer Crystal Garden,Mahaveer Group,17600000,"7,502 / sq ft",2350,Under Construction,Attapur,0.0
4  BHK  Villa,APR Praveens Hillside,APR Group,44100000,"12,000 / sq ft",3675,Under Construction,Bachupally,0.0
4  BHK  Villa,APR Praveens Hillside,APR Group,44100000,"12,000 / sq ft",3675,Under Construction,Bachupally,0.0
3  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,8818000,"5,599 / sq ft",1575,Under Construction,Kompally,0.0
2  BHK  Apartment,Urbanrise Spring Is In The Air,seller,6500000,"7,080 / sq ft",918,Under Construction,Miyapur,
